Time (s),Channel 1 (V),Channel 2 (V)
-0.002605054788909893,-0.00157765601554533,-1.344842586153159
-0.002604424788909893,-0.001238327895864086,-1.341020210357083
-0.002603794788909893,-0.0008989997761825344,-1.348664961949237
-0.002603164788909893,-0.001238327895863778,-1.352487337745317
-0.002602534788909893,-0.0008989997761825344,-1.356309713541393
-0.002601904788909893,-0.00157765601554533,-1.36013208933747
-0.002601274788909893,-0.001916984135226573,-1.348664961949242
-0.002600644788909893,-0.002256312254908125,-1.32573070717277
-0.002600014788909893,-0.001916984135226727,-1.302796452396303
-0.002599384788909893,-0.001577656015545484,-1.298974076600227
-0.002598754788909893,-0.001238327895863932,-1.302796452396303
-0.002598124788909893,-0.001238327895863932,-1.318085955580618
-0.002597494788909893,-0.001238327895863932,-1.32573070717277
-0.002596864788909893,-0.00157765601554533,-1.329553082968848
-0.002596234788909893,-0.001238327895864241,-1.314263579784533
-0.002595604788909893,-0.001916984135226727,-1.306618828192381
-0.002594974788909893,-0.002256312254908125,-1.287506949211992
-0.002594344788909893,-0.002256312254908125,-1.264572694435536
-0.002593714788909893,-0.00293496849427092,-1.245460815455136
-0.002593084788909893,-0.002934968494270765,-1.226348936474742
-0.002592454788909893,-0.002595640374589522,-1.214881809086514
-0.002591824788909893,-0.001916984135226727,-1.195769930106125
-0.002591194788909893,-0.001916984135226573,-1.191947554310044
-0.002590564788909893,-0.00157765601554533,-1.184302802717891
-0.002589934788909893,-0.001238327895863932,-1.191947554310047
-0.002589304788909893,-0.002256312254907662,-1.180480426921819
-0.002588674788909893,-0.002595640374589522,-1.165190923737502
-0.002588044788909893,-0.002256312254907662,-1.146079044757113
-0.002587414788909893,-0.001238327895863932,-1.146079044757113
-0.002586784788909893,-0.00157765601554533,-1.149901420553191
-0.002586154788909893,-0.002256312254908279,-1.146079044757112
-0.002585524788909893,-0.002595640374589522,-1.142256668961036
-0.002584894788909893,-0.001916984135226727,-1.13461191736888
-0.002584264788909893,-0.001916984135226727,-1.126967165776728
-0.002583634788909893,-0.002256312254908125,-1.115500038388491
-0.002583004788909893,-0.002256312254908125,-1.104032911000257
-0.002582374788909893,-0.002256312254908125,-1.096388159408102
-0.002581744788909893,-0.002595640374589522,-1.084921032019868
