Time (s),Channel 1 (V),Channel 2 (V)
-0.002580165,0.04966089005634571,-0.5306765415885866
-0.002579535,0.04966089005634571,-0.5306765415885866
-0.002578905,0.04932156193666431,-0.5268541657925088
-0.002578275,0.04830357757762026,-0.5192094142003532
-0.002577645,0.04864290569730151,-0.5192094142003532
-0.002577015,0.04796424945793872,-0.5153870384042754
-0.002576385,0.04796424945793872,-0.5039199110160472
-0.002575755,0.04660693697921312,-0.4962751594238863
-0.002575125,0.04762492133825732,-0.5039199110160419
-0.002574495,0.04660693697921359,-0.5039199110160419
-0.002573865,0.04558895262016893,-0.4924527836278085
-0.002573235,0.04524962450048723,-0.4848080320356511
-0.002572605,0.04457096826112474,-0.4809856562395751
-0.002571975,0.04423164014144334,-0.4809856562395751
-0.002571345,0.04457096826112459,-0.4809856562395716
-0.002570715,0.04423164014144334,-0.4733409046474195
-0.002570085,0.04355298390208055,-0.4771632804434973
-0.002569455,0.04389231202176179,-0.4695185288513452
-0.002568825,0.04389231202176194,-0.4733409046474195
-0.002568195,0.04321365578239868,-0.473340904647416
-0.002567565,0.04219567142335496,-0.4656961530552639
-0.002566935,0.04185634330367356,-0.4656961530552639
-0.002566305,0.04219567142335449,-0.4656961530552586
-0.002565675,0.04117768706431076,-0.4542290256670304
-0.002565045,0.04083835894462937,-0.4504066498709526
-0.002564415,0.04015970270526688,-0.4465842740748765
-0.002563785,0.04015970270526657,-0.442761898278797
-0.002563155,0.03982037458558518,-0.4351171466866414
-0.002562525,0.03982037458558518,-0.4351171466866414
-0.002561895,0.03914171834622238,-0.4274723950944858
-0.002561265,0.03880239022654083,-0.4312947708905601
-0.002560635,0.03846306210685958,-0.423650019298408
-0.002560005,0.03778440586749679,-0.423650019298408
-0.002559375,0.03744507774781555,-0.4198276435023319
-0.002558745,0.03778440586749679,-0.4160052677062523
-0.002558115,0.03744507774781539,-0.4121828919101745
-0.002557485,0.03676642150845259,-0.4083605161140967
-0.002556855,0.03676642150845259,-0.4083605161140967
-0.002556225,0.03642709338877104,-0.4007157645219429
-0.002555595,0.0360877652690898,-0.4045381403180189
-0.002554965,0.0360877652690898,-0.3968933887258633
-0.002554335,0.03506978091004608,-0.3930710129297872
-0.002553705,0.03506978091004561,-0.3892486371337077
-0.002553075,0.03473045279036421,-0.3854262613376299
-0.002552445,0.03405179655100141,-0.3777815097454743
-0.002551815,0.03439112467068281,-0.3777815097454743
-0.002551185,0.03303381219195722,-0.3701367581533152
-0.002550555,0.03303381219195722,-0.362492006561163
-0.002549925,0.03269448407227583,-0.362492006561163
-0.002549295,0.03269448407227583,-0.362492006561163
-0.002548665,0.03167649971323163,-0.362492006561163
-0.002548035,0.03133717159355023,-0.3548472549690074
-0.002547405,0.03065851535418775,-0.3472025033768553
-0.002546775,0.03031918723450604,-0.343380127580774
-0.002546145,0.03065851535418682,-0.3433801275807723
-0.002545515,0.02930120287546185,-0.3395577517846962
-0.002544885,0.02930120287546185,-0.3357353759886184
-0.002544255,0.02964053099514309,-0.3357353759886184
-0.002543625,0.02862254663609905,-0.3280906243964628
-0.002542995,0.02828321851641766,-0.3280906243964628
-0.002542365,0.02726523415737393,-0.3204458728043107
-0.002541735,0.02692590603769206,-0.3128011212121516
-0.002541105,0.02726523415737346,-0.3051563696199943
-0.002540475,0.02726523415737346,-0.3013339938239182
-0.002539845,0.02692590603769206,-0.305156369619996
-0.002539215,0.02590792167864834,-0.305156369619996
-0.002538585,0.02488993731960368,-0.3013339938239182
-0.002537955,0.02455060919992228,-0.2936892422317626
-0.002537325,0.02488993731960353,-0.2898668664356865
