Frequency (Hz),Trace 2 (dBV),Phase (deg)
0,-19.36194288184822,0
4.8828125,-19.67134153677037,179.9700764153405
9.765625,-23.16904946995596,179.9254445317722
14.6484375,-33.59818681689296,179.709831383176
19.53125,-56.39766275905692,176.9985274690009
24.4140625,-80.54417205658554,22.84527529473013
29.296875,-80.65674952505368,152.563679610434
34.1796875,-80.98320075831454,143.8032690415878
39.0625,-81.59667330315534,137.6066789309066
43.9453125,-81.66526500283419,119.5334252567985
48.828125,-81.66806942732612,99.20125348485364
53.7109375,-81.57328276882963,83.05192715839513
58.59375,-81.59817728952062,86.54507445272351
63.4765625,-81.43977555437532,75.18424174928485
68.359375,-81.10102907235203,53.92894957460535
73.2421875,-80.89171429664472,42.36141008482497
78.125,-80.80135380648075,33.55979934754139
83.0078125,-81.15468380157387,25.78176818468768
87.890625,-81.12539886901416,12.81666513340506
92.7734375,-81.00400604058366,176.2757454140939
97.65625,-81.22064650002437,145.2729894624888
102.5390625,-81.67722701469231,65.68747947928735
107.421875,-81.90013407278242,38.24097587157277
112.3046875,-81.40674834846878,20.5807619294681
117.1875,-81.10627749929139,176.388920318753
122.0703125,-81.08794509779216,145.6650120117008
126.953125,-81.27254770730983,120.0965291530281
131.8359375,-81.20711322065259,109.7770225804528
136.71875,-80.97050026287104,108.4136664987096
141.6015625,-80.7115378360365,107.3621477191953
146.484375,-80.61351884038237,106.8291408501701
151.3671875,-80.83280898530455,100.3411815724828
156.25,-81.10627834567596,89.94193978285364
161.1328125,-81.33611339751968,75.88017154284756
166.015625,-81.50051682111351,68.89391864624177
170.8984375,-81.16407558591369,87.02291191671596
175.78125,-80.45193152371945,121.7969097595343
180.6640625,-80.2139871389226,10.58585346769567
185.546875,-80.36774492875567,52.78621999506056
190.4296875,-80.44542979993138,58.8523895920455
195.3125,-80.77612742814254,84.55342088175328
200.1953125,-81.0175715697446,96.88875530250743
205.078125,-81.49777535958536,93.50988666820955
209.9609375,-81.74939761591486,93.66775540872395
214.84375,-81.88963765142068,109.7912594181368
219.7265625,-81.72982082082983,103.7923550705492
224.609375,-81.46060127236626,143.6564944713212
229.4921875,-81.23872049396937,128.7738133697166
234.375,-80.8635318417882,120.2470708554131
239.2578125,-80.94781189374955,123.4324038451067
244.140625,-81.42634676474076,155.7895850507711
249.0234375,-81.59008768017443,33.89333779815209
253.90625,-81.8137158430699,106.8943705971042
258.7890625,-81.50184351974926,130.3448474237063
263.671875,-81.27919395794302,152.0755877195683
268.5546875,-80.97045128781977,154.7703934830394
273.4375,-80.77167762042045,154.040971947782
278.3203125,-81.08437143722847,166.1238227072584
283.203125,-80.64885619686747,179.3953072100695
288.0859375,-80.34085498915954,33.01638699054225
292.96875,-80.40341291005302,44.30365986560459
297.8515625,-80.77682874193444,46.97976405080949
302.734375,-81.46157122199574,48.28459268666646
307.6171875,-81.46989936672827,46.90662093351054
312.5,-81.93833565780274,39.18971727544631
317.3828125,-82.02761176696956,161.0863082599399
322.265625,-81.52984309797823,137.0891495901156
327.1484375,-81.15329533513396,137.8537291335325
332.03125,-80.87756699237163,136.1764954803157
336.9140625,-80.44036459284585,130.2713109413583
341.796875,-79.92590018689577,125.2735748490586
346.6796875,-79.51623655847037,116.4625780907177
351.5625,-79.42577374600488,91.58371252447868
356.4453125,-79.66502353300224,84.94747321111021
361.328125,-79.95943724676756,96.48216982888054
366.2109375,-80.4397621360723,99.6211820046988
371.09375,-80.77896305813371,106.3494845495194
375.9765625,-80.65708377499786,93.53329396357171
380.859375,-80.29050822565677,68.50508785729281
385.7421875,-80.17616274132392,57.97120919493334
390.625,-80.1033656574501,42.97082176575441
395.5078125,-80.53711026808693,33.15238537584327
400.390625,-81.41019856038733,83.42529137299425
405.2734375,-82.13211460716694,123.888235289647
410.15625,-82.44833817285298,122.7308748592111
415.0390625,-81.89931658284935,119.5033555773456
419.921875,-81.83068422813234,109.4079795597086
424.8046875,-81.89975463016111,114.198607979034
429.6875,-81.4088826649499,133.4813777291729
434.5703125,-81.56285327084913,93.30534949388206
439.453125,-81.97970068683475,74.80881197009036
444.3359375,-82.47306256091512,73.39158119227702
449.21875,-82.17164924394629,74.37346515076784
454.1015625,-81.14583260022961,92.87055320407194
458.984375,-80.57963941663314,119.664003623048
463.8671875,-80.64961803537287,152.7264265960379
468.75,-81.08236256188715,158.3688145899985
473.6328125,-81.43413197852209,153.0902402098542
478.515625,-81.30217060407836,174.091466210309
483.3984375,-80.90084490232866,45.97553702470126
488.28125,-80.20920533962411,85.86859298503389
493.1640625,-80.1628265255134,115.3868376455463
498.046875,-80.97134348229746,124.0792985094511
502.9296875,-81.49977436960043,120.360239401612
507.8125,-81.96697660505001,113.7143491037965
512.6953125,-82.10001442342714,99.58609140542626
517.578125,-82.0044172619225,84.25641558461481
522.4609375,-82.08571400537866,62.14244968845052
527.34375,-82.07475969185285,5.852989349968267
532.2265625,-81.96727427570197,153.0809782074228
537.109375,-81.04610959763994,141.2953220262104
541.9921875,-80.60240729931536,146.7437542714714
546.875,-80.73160086995713,160.4632469930852
551.7578125,-80.61908730825485,3.098300639825423
556.640625,-80.83517124452355,37.07496792131469
561.5234375,-81.51952053718119,75.02567205036516
566.40625,-81.62737730071805,92.4224461412292
571.2890625,-80.84647727869495,98.2594957357561
576.171875,-80.64026722667799,87.57839996938469
581.0546875,-81.56010718797253,72.38676487694983
585.9375,-82.96620223909621,49.64500199980156
590.8203125,-82.71435913096953,161.1749006152802
595.703125,-81.80794388306657,124.0189478535366
600.5859375,-81.07963138049529,115.4732967771308
605.46875,-81.10723357292591,117.2295956921271
610.3515625,-81.68388032095669,119.8200893693313
615.234375,-82.08846580123135,123.7034405025337
620.1171875,-82.01489586856229,135.2705957260127
625,-81.40925329552428,44.93452485028034
629.8828125,-80.84450655021634,3.75412866264789
634.765625,-80.25345719383834,167.1567999738669
639.6484375,-79.87353450765326,165.0463798000554
644.53125,-79.88942623011719,157.9606920784776
649.4140625,-80.23482668114812,146.4594408758497
654.296875,-80.60753851792663,124.9922328814968
659.1796875,-80.88092027063583,98.29834093232455
664.0625,-81.69994748037146,75.15913689143093
668.9453125,-82.30281035131426,44.57408977976625
673.828125,-82.43328372397534,165.0216383817535
678.7109375,-81.4067022959232,106.7217458520586
683.59375,-81.17584437647353,80.59640922391992
688.4765625,-80.83063564075087,77.65463480339851
693.359375,-80.67156419591402,87.56764074014463
698.2421875,-80.88171476947218,92.1846215523142
703.125,-80.98798874550292,87.11935836163545
708.0078125,-81.09719515223036,88.62093410286741
712.890625,-80.89420950064189,92.52489206711589
717.7734375,-80.80195949421008,88.41676576072169
722.65625,-81.08000186163325,99.34434993287678
727.5390625,-81.62652350089817,170.5031162073145
732.421875,-82.12322991501219,15.58139061553592
737.3046875,-81.55829818982397,21.53787113048194
742.1875,-80.62979346532057,22.41049631506528
747.0703125,-80.15047916361196,27.65790919913215
751.953125,-79.90727850586237,44.67542899708945
756.8359375,-80.26893677372527,107.9621740248296
761.71875,-81.35644313714283,128.9714423205306
766.6015625,-82.03646165867242,128.5000064435726
771.484375,-81.45992994732961,122.6082584727467
776.3671875,-81.20034463087153,120.8690120982384
781.25,-81.27091235851047,105.1178212549619
786.1328125,-81.45241700928025,173.7371257306837
791.015625,-81.20924832164624,116.9685863717705
795.8984375,-80.9366645987636,112.1428248232918
800.78125,-81.18126512139253,120.9380675747377
805.6640625,-81.53688874800275,129.8415021932971
810.546875,-81.38511701633136,23.80584687301089
815.4296875,-80.95242018236804,98.27939160521588
820.3125,-80.66216544784308,107.6928253524273
825.1953125,-80.7920655527497,58.55399988107001
830.078125,-81.28996807029401,50.81536402857055
834.9609375,-81.89553794512508,7.49715412886761
839.84375,-81.63268933270228,136.1808717587647
844.7265625,-81.45918920105238,124.625258540016
849.609375,-81.54900728851786,118.9490694889333
854.4921875,-81.77853984814719,103.6303797587897
859.375,-81.4652142681081,108.4544920689276
864.2578125,-81.05031306185369,122.4767352670648
869.140625,-81.27142986428454,130.3739809293894
874.0234375,-81.08588345910357,135.3990162396697
878.90625,-81.34279130966009,139.8076917342457
883.7890625,-81.7358206087745,109.4073158394283
888.671875,-81.65503471105184,66.08684739221832
893.5546875,-81.53730335829606,67.20246903151012
898.4375,-81.37990235543755,79.32685886064515
903.3203125,-81.33391736056106,87.50247442130809
908.203125,-81.44770976935943,87.17697441906094
913.0859375,-81.67808481933017,34.89509532861016
917.96875,-81.56006529602806,94.89980786003395
922.8515625,-81.37326391773273,29.20926196560016
927.734375,-81.68312508551602,172.7041389980712
932.6171875,-81.91781753806896,151.8540004356963
937.5,-82.1909212063932,161.6339583488822
942.3828125,-82.1949095221413,44.96664113484741
947.265625,-81.44844151426503,116.9189403590531
952.1484375,-81.20437998335231,131.8186882491804
957.03125,-80.84733454029185,148.7455857890121
961.9140625,-81.32983658623715,109.1431573301389
966.796875,-81.08844774543388,111.3367686750085
971.6796875,-80.83623685983474,109.4045310534326
