Time (s),Channel 1 (V),Channel 2 (V)
-0.0025800075,0.04796424945793872,-0.4504066498709526
-0.0025793775,0.04762492133825747,-0.4504066498709526
-0.0025787475,0.04694626509889453,-0.4542290256670304
-0.0025781175,0.04592828073985018,-0.4504066498709526
-0.0025774875,0.04558895262016893,-0.4504066498709526
-0.0025768575,0.04558895262016893,-0.4465842740748748
-0.002576227500000001,0.04491029638080644,-0.4504066498709509
-0.0025755975,0.04491029638080614,-0.4542290256670304
-0.0025749675,0.04389231202176194,-0.4504066498709526
-0.0025743375,0.04423164014144319,-0.4542290256670287
-0.0025737075,0.04389231202176194,-0.4542290256670304
-0.0025730775,0.04355298390208024,-0.4542290256670304
-0.0025724475,0.04287432766271775,-0.4542290256670304
-0.0025718175,0.04253499954303636,-0.4504066498709526
-0.0025711875,0.04253499954303605,-0.4504066498709544
-0.0025705575,0.04185634330367356,-0.4542290256670304
-0.0025699275,0.04185634330367356,-0.4542290256670304
-0.002569297500000001,0.04151701518399231,-0.4542290256670304
-0.0025686675,0.04049903082494797,-0.4542290256670304
-0.0025680375,0.04049903082494766,-0.4580514014631047
-0.0025674075,0.03982037458558518,-0.4504066498709526
-0.0025667775,0.04015970270526657,-0.4504066498709526
-0.0025661475,0.04015970270526611,-0.4504066498709526
-0.0025655175,0.03914171834622238,-0.4504066498709526
-0.0025648875,0.03812373398717819,-0.4504066498709526
-0.002564257500000001,0.03710574962813445,-0.4504066498709526
-0.0025636275,0.03778440586749679,-0.4504066498709526
-0.0025629975,0.03778440586749632,-0.44276189827879
-0.0025623675,0.03676642150845259,-0.4274723950944858
-0.0025617375,0.03676642150845259,-0.4083605161140967
-0.0025611075,0.03676642150845244,-0.3968933887258616
-0.0025604775,0.0364270933887712,-0.3930710129297855
-0.0025598475,0.0360877652690898,-0.3892486371337077
-0.002559217500000001,0.03574843714940856,-0.3816038855415556
-0.0025585875,0.0360877652690898,-0.3777815097454743
-0.0025579575,0.03506978091004561,-0.3777815097454743
-0.0025573275,0.03473045279036421,-0.3663143823572408
-0.0025566975,0.03405179655100141,-0.3663143823572408
-0.0025560675,0.03405179655100141,-0.3663143823572408
-0.0025554375,0.03405179655100141,-0.3663143823572408
-0.0025548075,0.03303381219195722,-0.3586696307650852
-0.002554177500000001,0.03337314031163847,-0.3586696307650852
-0.0025535475,0.03269448407227583,-0.3548472549690074
-0.0025529175,0.03201582783291303,-0.3510248791729296
-0.0025522875,0.03201582783291303,-0.3472025033768518
-0.0025516575,0.03133717159355023,-0.343380127580774
-0.0025510275,0.03133717159355008,-0.343380127580774
-0.0025503975,0.03099784347386884,-0.343380127580774
-0.0025497675,0.03031918723450604,-0.3395577517846962
-0.002549137500000001,0.02964053099514356,-0.328090624396468
-0.0025485075,0.02930120287546185,-0.324268248600385
-0.0025478775,0.02930120287546185,-0.3280906243964628
-0.0025472475,0.02964053099514309,-0.3204458728043107
-0.0025466175,0.02964053099514325,-0.3204458728043072
-0.0025459875,0.02828321851641735,-0.3089787454160721
-0.0025453575,0.02760456227705486,-0.305156369619996
-0.0025447275,0.02760456227705486,-0.3013339938239182
-0.002544097500000001,0.02692590603769237,-0.3013339938239182
-0.0025434675,0.02624724979832927,-0.2975116180278404
-0.0025428375,0.02556859355896647,-0.2936892422317626
-0.0025422075,0.02590792167864772,-0.2860444906396105
-0.0025415775,0.02522926543928508,-0.2783997390474513
-0.0025409475,0.02522926543928493,-0.2745773632513718
-0.0025403175,0.02488993731960368,-0.2707549874552957
-0.0025396875,0.02455060919992228,-0.2631102358631401
-0.002539057500000001,0.0238719529605598,-0.2631102358631401
-0.0025384275,0.02353262484087809,-0.2554654842709845
-0.0025377975,0.02285396860151529,-0.2516431084749067
-0.0025371675,0.02217531236215281,-0.2516431084749067
-0.0025365375,0.0225146404818339,-0.2401759810866733
-0.0025359075,0.02251464048183375,-0.2478207326788289
-0.0025352775,0.0221753123621525,-0.2478207326788289
-0.0025346475,0.02081799988342691,-0.2516431084749067
-0.0025340175,0.0214966561227894,-0.2439983568827458
-0.0025333875,0.02081799988342691,-0.2325312294945177
-0.0025327575,0.02047867176374551,-0.2287088536984399
-0.002532127500000001,0.02047867176374551,-0.2287088536984399
-0.0025314975,0.01946068740470132,-0.224886477902362
-0.0025308675,0.01878203116533837,-0.2248864779023586
-0.0025302375,0.01844270304565713,-0.2172417263102064
-0.0025296075,0.01810337492597573,-0.2134193505141286
-0.0025289775,0.01742471868661324,-0.2057745989219713
-0.0025283475,0.01810337492597573,-0.2019522231258952
-0.0025277175,0.01776404680629433,-0.205774598921973
-0.002527087500000001,0.01742471868661309,-0.1981298473298209
-0.0025264575,0.01742471868661294,-0.1943074715337396
-0.0025258275,0.01674606244725014,-0.1904850957376618
-0.0025251975,0.01640673432756874,-0.1904850957376618
-0.0025245675,0.01606740620788735,-0.186662719941584
-0.0025239375,0.015049421848843,-0.1751955925533523
-0.0025233075,0.01471009372916175,-0.1790179683494283
-0.0025226775,0.01471009372916175,-0.1790179683494283
-0.002522047500000001,0.01403143748979927,-0.1713732167572762
-0.0025214175,0.01437076560948036,-0.1713732167572727
-0.0025207875,0.01301345313075477,-0.1637284651651171
-0.0025201575,0.01301345313075477,-0.1637284651651171
-0.0025195275,0.01233479689139197,-0.1599060893690393
-0.0025188975,0.01165614065202887,-0.152261337776882
-0.0025182675,0.01097748441266638,-0.1484389619808059
-0.0025176375,0.01165614065202918,-0.1484389619808059
-0.002517007500000001,0.01097748441266669,-0.1446165861847299
-0.0025163775,0.01097748441266638,-0.1484389619808059
-0.0025157475,0.01029882817330358,-0.1446165861847281
-0.0025151175,0.009959500053622342,-0.1369718345925759
-0.0025144875,0.00962017193394079,-0.1293270830004169
-0.0025138575,0.009280843814259547,-0.1255047072043391
-0.0025132275,0.00962017193394079,-0.1255047072043391
-0.0025125975,0.008941515694577995,-0.1216823314082613
-0.002511967500000001,0.008262859455215509,-0.1140375798161091
