Time (s),Channel 1 (V),Channel 2 (V)
-0.002580165,-0.0002203435368197393,-1.436579605259027
-0.002579535,0.000118984582861504,-1.448046732647255
-0.002578905,-0.0002203435368197393,-1.459513860035493
-0.002578275,-0.0002203435368200479,-1.451869108443333
-0.002577645,-0.0008989997761825344,-1.440401981055104
-0.002577015,-0.0008989997761825344,-1.406000598890404
-0.002576385,-0.0002203435368200478,-1.398355847298252
-0.002575755,-0.0005596716565011368,-1.398355847298248
-0.002575125,-0.0008989997761825344,-1.371599216725704
-0.002574495,-0.0008989997761825344,-1.352487337745323
-0.002573865,-0.0005596716565011368,-1.344842586153159
-0.002573235,-0.000220343536819585,-1.341020210357104
-0.002572605,0.0001189845828616583,-1.390711095706093
-0.002571975,-0.0002203435368197393,-1.406000598890404
-0.002571345,-0.0005596716565012911,-1.417467726278639
-0.002570715,-0.0008989997761825344,-1.421290102074715
-0.002570085,-0.0008989997761825344,-1.402178223094326
-0.002569455,-0.001238327895863778,-1.363954465133566
-0.002568825,-0.001238327895863932,-1.321908331376692
-0.002568195,-0.001238327895863469,-1.298974076600222
-0.002567565,-0.0002203435368197393,-1.29132932500807
-0.002566935,-0.0002203435368197393,-1.329553082968848
-0.002566305,-0.000220343536819585,-1.348664961949244
-0.002565675,0.0001189845828616583,-1.363954465133548
-0.002565045,-0.0002203435368197393,-1.337197834561004
-0.002564415,-0.0008989997761822258,-1.314263579784547
-0.002563785,-0.0008989997761825344,-1.32573070717277
-0.002563155,-0.0005596716565011368,-1.329553082968838
-0.002562525,-0.0005596716565011368,-1.306618828192381
-0.002561895,-0.001238327895863932,-1.279862197619837
-0.002561265,-0.0005596716565011368,-1.256927942843378
-0.002560635,-0.0005596716565011368,-1.276039821823759
-0.002560005,-0.0005596716565011368,-1.279862197619837
-0.002559375,0.0001189845828613497,-1.295151700804141
-0.002558745,-0.0005596716565011368,-1.29132932500807
-0.002558115,-0.0002203435368197393,-1.287506949211992
-0.002557485,-0.0002203435368197393,-1.321908331376692
-0.002556855,-0.0005596716565011368,-1.344842586153159
-0.002556225,-0.0008989997761825344,-1.352487337745308
-0.002555595,-0.0008989997761825344,-1.337197834561004
-0.002554965,-0.0005596716565011368,-1.348664961949237
-0.002554335,-0.001577656015544867,-1.329553082968857
-0.002553705,-0.0008989997761825344,-1.310441203988459
-0.002553075,-0.0008989997761825344,-1.306618828192381
-0.002552445,-0.001238327895863932,-1.295151700804148
-0.002551815,-0.001238327895863932,-1.253105567047292
-0.002551185,-0.0008989997761825344,-1.233993688066903
-0.002550555,-0.0008989997761825344,-1.233993688066903
-0.002549925,-0.0005596716565011368,-1.25692794284337
-0.002549295,-0.0008989997761823801,-1.25692794284337
-0.002548665,-0.00157765601554533,-1.230171312270825
-0.002548035,-0.00157765601554533,-1.199592305902203
-0.002547405,-0.000898999776182843,-1.184302802717898
-0.002546775,-0.001238327895863932,-1.176658051125736
-0.002546145,-0.000898999776182843,-1.169013299533559
-0.002545515,-0.00157765601554533,-1.123144789980646
-0.002544885,-0.001238327895863932,-1.104032911000257
-0.002544255,-0.001238327895863932,-1.119322414184562
-0.002543625,-0.001238327895863932,-1.123144789980646
-0.002542995,-0.001238327895863932,-1.13461191736888
-0.002542365,-0.001577656015545175,-1.119322414184575
-0.002541735,-0.001238327895863932,-1.10021053520418
-0.002541105,-0.00157765601554533,-1.073453904631626
-0.002540475,-0.00157765601554533,-1.054342025651246
-0.002539845,-0.00157765601554533,-1.04669727405909
-0.002539215,-0.00157765601554533,-1.039052522466938
-0.002538585,-0.001238327895863932,-1.035230146670857
-0.002537955,-0.001238327895863932,-1.031407770874779
-0.002537325,-0.001577656015545175,-1.008473516098323
-0.002536695,-0.0008989997761825344,-1.004651140302234
-0.002536065,-0.0008989997761825344,-1.035230146670862
-0.002535435,-0.0008989997761825344,-1.04669727405909
-0.002534805,-0.001238327895863932,-1.054342025651246
-0.002534175,-0.001577656015545638,-1.035230146670845
-0.002533545,-0.002256312254908125,-1.008473516098312
-0.002532915,-0.001916984135226727,-0.954960254953223
-0.002532285,-0.001916984135226727,-0.951137879157147
-0.002531655,-0.001238327895863932,-0.974072133933612
-0.002531025,-0.001577656015545638,-0.989361637117918
-0.002530395,-0.002256312254908125,-0.9778945097296898
-0.002529765,-0.002256312254908125,-0.9434931275649896
-0.002529135,-0.001577656015545021,-0.9243812485846076
-0.002528505,-0.0008989997761825344,-0.9396707517689118
-0.002527875,-0.001916984135226727,-0.9702497581375342
-0.002527245,-0.002256312254907971,-0.9702497581375342
-0.002526615,-0.001238327895863932,-0.954960254953223
-0.002525985,-0.001916984135226727,-0.9702497581375342
-0.002525355,-0.00157765601554533,-0.9626050065453786
-0.002524725,-0.001916984135226727,-0.9511378791571452
-0.002524095,-0.001577656015545638,-0.9243812485845936
-0.002523465,-0.002256312254908125,-0.9090917454002894
-0.002522835,-0.002595640374589522,-0.8938022422159781
-0.002522205,-0.002256312254908279,-0.8785127390316739
-0.002521575,-0.002595640374589522,-0.8785127390316669
-0.002520945,-0.002595640374589522,-0.8670456116434335
-0.002520315,-0.002595640374589522,-0.8594008600512779
-0.002519685,-0.001916984135226727,-0.8555784842552001
-0.002519055,-0.001577656015545638,-0.8670456116434231
-0.002518425,-0.002256312254908125,-0.8441113568669667
-0.002517795,-0.002256312254908125,-0.8211771020904999
-0.002517165,-0.002256312254908125,-0.8135323504983477
-0.002516535,-0.001916984135226727,-0.8288218536826555
-0.002515905,-0.00157765601554533,-0.8517561084591223
