Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,6.04085410300654,0
2.31940551966559,5.731648149773071,179.8314616618276
4.63881103933118,2.231922717825185,179.6602422524657
6.958216558996769,-8.196569895900534,177.8711399149381
9.277622078662359,-27.19106779981328,171.3305864153085
11.59702759832795,-29.00547091803351,37.45958917222476
13.91643311799354,-29.05468341972871,53.1141731704638
16.23583863765913,-29.00179820549205,67.97288220637505
18.55524415732472,-28.82864565673528,72.91430933369737
20.87464967699031,-28.83286699472542,76.52658626462633
23.1940551966559,-28.91391192535106,79.01693060894466
25.51346071632149,-28.94961960805585,67.9852608118338
27.83286623598708,-28.94819823190961,49.9506021947013
30.15227175565267,-28.92844037544813,51.32074766996477
32.47167727531826,-28.75611670660884,19.52404132922238
34.79108279498385,-28.52512853004214,24.13503194658445
37.11048831464944,-28.38079074919994,32.10519441495022
39.42989383431502,-28.40099675478013,43.76267027337109
41.74929935398062,-28.49138908328873,52.56643321879515
44.0687048736462,-28.56794614601565,58.98904163179005
46.3881103933118,-28.57907593371152,30.08166621301425
48.70751591297739,-28.7219749639194,162.2951788854419
51.02692143264298,-28.86553709068967,153.3263202087826
53.34632695230857,-28.86517519160227,166.2360877992436
55.66573247197415,-28.83867957371789,20.04877224749097
57.98513799163975,-28.88510447123763,131.9945873754252
60.30454351130533,-28.9289242940834,170.616123762016
62.62394903097093,-28.7871024911331,0.4277943499822613
64.94335455063651,-28.62217955561932,57.20697004550219
67.26276007030211,-28.82900176085281,51.92912392291226
69.5821655899677,-29.17211422733751,119.9349058934987
71.90157110963328,-29.2706018181877,98.08075698539314
74.22097662929887,-28.99097324513937,104.0573933486325
76.54038214896447,-28.7256311564223,112.7309446247457
78.85978766863005,-28.73127390071787,170.3857335509883
81.17919318829564,-28.7428906093265,95.30771223998042
83.49859870796124,-28.73490529358504,90.77858330465126
85.81800422762683,-28.90987010219084,84.96802710021447
88.13740974729241,-29.06584252538354,74.43598311627012
90.456815266958,-29.15445322126761,96.26827102091488
92.7762207866236,-29.02997381210071,128.7017947817121
95.09562630628918,-29.00251853211248,148.6667608075113
97.41503182595477,-29.00001292513274,149.5227626048714
99.73443734562036,-28.85967872118709,143.7534647313986
102.053842865286,-28.82238176294459,135.6437517278461
104.3732483849515,-28.83092513022333,123.9116095749339
106.6926539046171,-28.7839344611664,111.3228397635354
109.0120594242827,-28.90525018808504,27.86997802871124
111.3314649439483,-28.93008481318262,141.2969632873864
113.6508704636139,-28.84473820333035,132.7286594267139
115.9702759832795,-28.9169683884382,138.8820547228344
118.2896815029451,-28.9866364728072,158.1115383882434
120.6090870226107,-29.11562953595482,165.5669940125239
122.9284925422763,-29.0876538529883,166.4585739260635
125.2478980619419,-29.03519288375177,162.6158029976843
127.5673035816074,-29.04922949275569,159.0850484585453
129.886709101273,-29.01046855038187,139.2163708128633
132.2061146209386,-29.01207561174374,32.28523949319744
134.5255201406042,-29.08752107636096,172.4494542881038
136.8449256602698,-29.14224201800693,163.993019522044
139.1643311799354,-29.10196844692734,161.2931919400251
141.483736699601,-29.05698481711699,148.802856116886
143.8031422192666,-28.94054947544855,131.1930992139868
146.1225477389322,-28.8755540214959,98.03454815859362
148.4419532585977,-28.99104547704572,10.49094864068363
150.7613587782633,-29.05388409282377,161.0694580275031
153.0807642979289,-29.00742251439942,149.4551007851715
155.4001698175945,-28.97024162725815,149.9507870984376
157.7195753372601,-28.96280052028368,151.5959955041796
160.0389808569257,-28.90053257075454,151.667152247318
162.3583863765913,-29.07137494122992,143.6146030889501
164.6777918962569,-29.23400927433484,81.80466391429749
166.9971974159225,-29.14267345261608,47.18187103536406
169.3166029355881,-28.77715428825769,17.32454627194381
171.6360084552537,-28.57989751314135,157.4907157416646
173.9554139749192,-28.59395795161177,123.603286657717
176.2748194945848,-28.71226280579205,82.77919608130318
178.5942250142504,-28.8579390708682,68.94859895604291
180.913630533916,-29.03679171416964,65.52322588059607
183.2330360535816,-29.13603761189261,73.68875833705918
185.5524415732472,-29.01084065174084,89.68181977297709
187.8718470929128,-29.04543456381023,107.6428530254637
190.1912526125784,-29.06056603633747,160.2979921926011
192.5106581322439,-29.02953753938795,26.32639322761949
194.8300636519095,-29.09181744175329,3.357826297053069
197.1494691715751,-29.07435935060442,126.5803816174047
199.4688746912407,-29.25838932082065,97.60257089721898
201.7882802109063,-29.21640782093487,78.67870454514967
204.1076857305719,-28.98164766681269,63.43138008841679
206.4270912502375,-28.86927894690927,56.09946161143111
208.7464967699031,-28.88998674825901,54.0916353606756
211.0659022895687,-28.94061777815257,62.52575762386447
213.3853078092343,-28.94756610264237,79.59455510739761
215.7047133288999,-29.09022188448947,112.9646753919522
218.0241188485655,-29.03749348487153,168.8425861212273
220.343524368231,-28.97898265389829,12.20551589289347
222.6629298878966,-28.75783810028296,8.309545837718918
224.9823354075622,-28.76414320980687,172.7956063362304
227.3017409272278,-28.85321707667381,158.556913771993
229.6211464468934,-28.86076718467068,150.8595925802314
231.940551966559,-28.86156054509416,140.1409421422152
234.2599574862246,-29.05319070947579,113.9715226510087
236.5793630058902,-29.01245830213013,91.96113835998287
238.8987685255558,-28.87267823207326,101.0985008769258
241.2181740452213,-28.65476231958581,106.0120626168916
243.5375795648869,-28.58116168791543,123.2681643906254
245.8569850845525,-28.71391158374719,137.6841110916315
248.1763906042181,-28.72011825684856,127.7865993632209
250.4957961238837,-28.72075924620577,57.11004389457345
252.8152016435493,-28.81174564894913,56.06917204401392
255.1346071632149,-28.90395024273882,50.98694387616282
257.4540126828805,-29.03098561731685,40.18090771795398
259.7734182025461,-29.00081263382511,45.98804849398333
262.0928237222117,-28.98616074682443,102.63931477661
264.4122292418772,-28.99852855931915,179.9338590891161
266.7316347615428,-28.96312816019185,2.635468725627973
269.0510402812084,-28.80976199645001,171.9085021741145
271.370445800874,-28.72380855094142,162.9261880164732
273.6898513205396,-28.72167883890499,162.9083614939359
276.0092568402052,-28.76772081298675,169.9888892528543
278.3286623598708,-28.81124314475725,174.3014006984322
280.6480678795364,-28.86759560870891,179.196674639846
282.9674733992019,-28.93669556152203,8.178613005674045
285.2868789188676,-28.79385799258907,177.0775196110014
287.6062844385331,-28.76068865208466,2.30960471721493
289.9256899581987,-28.90767066251362,174.1834670213199
292.2450954778643,-28.94785804399303,2.779322473810267
294.5645009975299,-28.90522602840294,19.65021834632095
296.8839065171955,-28.85415374502885,12.65689068082562
299.2033120368611,-28.96780321534258,153.6260536823799
301.5227175565267,-29.07250541571788,80.5022104957998
303.8421230761923,-29.11525423441542,75.20473478122433
306.1615285958579,-29.04127694628899,53.35379626730988
308.4809341155234,-29.06538975340862,4.90504512172273
310.8003396351891,-29.0846173514814,146.7597005836408
313.1197451548546,-29.18237582072713,147.1590964282394
315.4391506745202,-29.06196378398402,154.013212560621
317.7585561941858,-29.01870030554648,10.60005327456065
320.0779617138514,-29.0488054482677,66.23886540687391
322.397367233517,-29.03948350712282,100.8239753938071
324.7167727531826,-28.91177914801218,162.1174702378399
327.0361782728482,-28.85999948446962,4.3493341367239
329.3555837925138,-29.04914084489855,36.24414178803185
331.6749893121793,-29.14874234659271,58.38315026547067
333.9943948318449,-28.97927716830839,70.47733985557264
336.3138003515105,-28.8029927036084,83.86919504544423
338.6332058711761,-28.72344782074781,89.24465783733697
340.9526113908417,-28.75848768697919,92.37548352257288
343.2720169105073,-28.8387586025511,95.15674101276036
345.5914224301729,-28.77300127980126,107.0114894107261
347.9108279498384,-28.77092354261156,48.1759600199211
350.2302334695041,-28.86934410571151,43.50999208590282
352.5496389891696,-29.08327746561172,25.0064806402542
354.8690445088353,-29.18533807921068,1.524933829813203
357.1884500285008,-29.24915966341992,157.755787175982
359.5078555481664,-29.22028962054163,111.1266067146916
361.827261067832,-29.09082008056659,69.41500574012319
364.1466665874976,-28.98365219016576,148.4658395552796
366.4660721071632,-28.83989718608984,121.4700680393223
368.7854776268288,-28.72224332845255,113.1276135761033
371.1048831464944,-28.79315537026899,139.6193776184815
373.42428866616,-28.96183579980338,172.8243509907295
375.7436941858256,-28.98918696638234,0.5393962175951171
378.0630997054911,-28.85650198563884,6.670330138787371
380.3825052251567,-28.82286834069927,28.51123323442864
382.7019107448223,-28.9340749227404,60.79852716561597
385.0213162644879,-29.14156752237347,98.68391920945263
387.3407217841535,-29.15199577687285,96.93588590947887
389.6601273038191,-29.09279043550429,75.79981523465257
391.9795328234847,-29.0271753784392,43.37212192112466
394.2989383431503,-29.03332910854696,28.814595657372
396.6183438628158,-29.12838889528858,28.6299465876665
398.9377493824815,-29.09221126268963,29.67938089455408
401.257154902147,-28.81950486107996,58.0734537997192
403.5765604218126,-28.61741417748242,90.38184281807595
405.8959659414782,-28.65292398271029,106.8258673687763
408.2153714611438,-28.83248134096934,118.6561729571347
410.5347769808094,-28.96515448747888,143.6918620656006
412.854182500475,-28.95164681639499,4.378046890466933
415.1735880201406,-28.95450626034536,36.50290377583435
417.4929935398062,-28.96054812330042,49.97877381496323
419.8123990594718,-29.01292760866152,38.65901176413052
422.1318045791373,-29.06084890444008,67.20345983506503
424.451210098803,-28.94085408107536,157.2565894252767
426.7706156184685,-28.94642122087854,13.2595503324091
429.0900211381341,-29.00728238201996,61.27619972283872
431.4094266577997,-29.02830230689503,98.6165822540341
433.7288321774653,-28.91750901569038,174.2619392116189
436.0482376971309,-28.76944009244549,15.46282438158089
438.3676432167965,-28.60285689488121,20.15020006012229
440.6870487364621,-28.66947381579452,26.43608631559822
443.0064542561277,-28.8655318524877,20.11778036937594
445.3258597757932,-28.99632535272339,157.9448815565414
447.6452652954588,-29.11421165718524,131.4120026813523
449.9646708151244,-29.16018744024737,128.5305245920971
452.28407633479,-29.10074961416871,123.1517246810721
454.6034818544556,-29.02288193095981,117.1229746405266
456.9228873741212,-29.03774736961763,136.626467620297
459.2422928937868,-29.05717582943381,142.5628534099047
461.5616984134524,-29.0982780616136,67.06612257956809
463.881103933118,-29.08570957193653,69.89293580237293
466.2005094527835,-28.77589196349326,60.58823797976692
